	h_avg	h_train1	h_train2	h_train3	h_train4	h_train5	whole_data
1552303_a_at	0.7199343115507629	0.5075976246389626	0.6765481814115777	0.44233735762129817	0.9522379643380288	1.0209504297439473	0.8095917902875923
1552307_a_at	0.2679914157562597	0.24454555808237718	0.2160504499620976	0.31712182743630185	0.4023818165724471	0.15985742672807482	0.1930637471607968
1552309_a_at	0.303240016448992	0.18095884818795097	0.14936936601965176	0.7415737336834487	0.28477443031435146	0.15952370403955723	0.23248686336755364
1552310_at	0.2644637504443651	0.1691638182982641	0.3574026740536667	0.17033063056530853	0.3440742231848664	0.28134740611971965	0.2850308216342262
1552311_a_at	0.20767626736543585	0.27278542764175545	0.22996774390543248	0.106482182651178	0.2229804879191605	0.2061654947096529	0.2207439805756228
1552315_at	0.3561170414666626	0.37724928905969185	0.10088532032994833	0.430735009472052	0.4199843514795531	0.4517312369920675	0.39471897309835774
1552316_a_at	0.316056628772543	0.18184370136500452	0.08892665737849091	0.47148564803445514	0.4932261153939308	0.34480102169083376	0.3732060741997273
1552318_at	0.2516543468624505	0.1366734247208881	0.1074520184835832	0.4168518653858543	0.4570523135556494	0.14024211216627763	0.2946207938309838
1552329_at	0.29243004022856395	0.0732549024631711	0.4637357821318107	0.26127488870859134	0.44465391032667856	0.21923071751256828	0.3521790764463055
1552332_at	0.16696802321348062	0.24719342667560648	0.05072466643260993	0.17156083072951556	0.16099401309858113	0.20436717913108998	0.06152574843447473
1552343_s_at	0.2992563633465393	0.3273718152334876	0.516528887588059	0.2551041551515234	0.30862341437286434	0.08865354438676218	0.33369510524280566
1552344_s_at	0.36855342115166756	0.1163278120035467	0.5522472498968988	0.23331182579223228	0.39958825843861	0.5412919596270499	0.387390124670252
1552347_at	0.44016660407491653	0.29119351748862016	0.48407101023949944	0.21664268261994704	0.36721741318686757	0.8417083968396487	0.49261260433671694
1552362_a_at	0.16827647763809575	0.20631963020137353	0.13463716534988387	0.14339953709542091	0.07736721475902132	0.27965884078477904	0.042667809132471715
1552364_s_at	0.3502963152413635	0.28961965636335973	0.4390804993119	0.10581729966040718	0.28634110213075625	0.6306230187403943	0.39420272972912634
1552375_at	0.3032455187923597	0.32240506978819283	0.16820294580913353	0.5979098436876232	0.33080837102879124	0.0969013636480579	0.3422601574718312
1552383_at	0.3249987242268994	0.4853559699977426	0.474967064205199	0.21567617043728227	0.05033910031379167	0.3986553161804816	0.33818641786174636
1552384_a_at	0.09826283209736489	0.24148456784652175	0.01816216725241568	0.0338799360646583	0.022920574534618245	0.1748669147886104	0.06129857013926987
1552395_at	0.4996180862343052	0.7207331361614665	0.526846325179292	0.39476794248587327	0.5728923341362093	0.2828506932086851	0.5425276996826686
1552399_a_at	0.20777529717787596	0.23444528788626043	0.3097887853344229	0.12317089922608496	0.05316340056621034	0.3183081128764012	0.22228406562802888
1552409_a_at	0.11495333760089128	0.10823417253121757	0.1051189143134269	0.17021458764790415	0.10661998213602802	0.08457903137587976	0.09284678932131143
1552414_at	0.3034343627876579	0.2312400186833766	0.19793285893127813	0.3555793865609433	0.3914861317962048	0.3409334179664868	0.3091264661091798
1552422_at	0.16277621278022175	0.31817620201323943	0.3680767227571629	0.032537101471949756	0.03176313476565214	0.06332790289310447	0.021041768545232546
1552423_at	0.5884186935822119	0.7700231993782325	0.4112488415075416	0.5712819767537674	0.4951985545349418	0.694340895736576	0.6616723102569003
1552426_a_at	0.12198040369891594	0.0816325802728889	0.11603057555881424	0.01780632790052944	0.15031376500390306	0.24411876975844402	0.08021164521076851
1552439_s_at	0.30076217600605004	0.5263598086960094	0.42402675433919845	0.02585375000451511	0.4258204002829155	0.1017501667076117	0.12147506670978335
1552472_a_at	0.6014774731921755	0.44530051324580006	0.9292993145699504	0.22492698765970107	0.728905747670146	0.6789548028152796	0.683179500611963
1552473_at	0.3513854310818963	0.002893856707703309	0.5137135012448651	0.5051472271949483	0.1534315469974237	0.581741023264541	0.4208404332603483
1552474_a_at	0.14058012054017405	0.31943357973448383	0.27502733837680704	0.10021421349606024	0.0040587881726933655	0.00416668292082565	0.031074300199170384
1552476_s_at	0.11188890835935239	0.14963327239669894	0.1377312471924814	0.005059221137693884	0.11026523374778525	0.15675556732210255	0.058708956193984294
1552485_at	0.15744208702291146	0.06971943984445877	0.33188210522877654	0.1479393085231728	0.06382311262864664	0.17384646888950253	0.05548544064224717
1552496_a_at	0.8433277941397183	0.14031805515461776	0.9479285881513277	1.4275736800387522	0.5382754918807799	1.1625431554731138	0.8675816182332642
1552497_a_at	0.17271399108020496	0.024037678404330437	0.16314360677892645	0.23672465832048337	0.08953404507512226	0.35012996682216235	0.20143605791083657
1552504_a_at	0.21920799458491805	0.5071064634959102	7.00367034457798e-05	0.1301558615130784	0.31154154996410766	0.1471660612480483	0.2423751717289873
1552510_at	0.20700215438666475	0.29350354436027976	0.25313931888437774	0.08549068924144297	0.2686491823876867	0.13422803705953648	0.1937571837821484
1552516_a_at	0.3908612996472769	0.24255237066739002	0.49823816602092014	0.44606910963706464	0.32100968188471213	0.44643717002629757	0.45870506966283464
1552523_a_at	0.30356981945445105	0.37707721178948617	0.21127035706078048	0.23706147385809276	0.2199565945624727	0.4724834600014233	0.32283325472123214
1552536_at	0.1580637509412551	0.34454465776417537	0.013846097800240525	0.20710855904495332	0.09648558642442197	0.12833385367248437	0.0773015424108004
1552541_at	0.26803626667890834	0.5605534211099369	0.005462329583512307	0.30288878290132704	0.316784004649137	0.15449279515062841	0.25127892915095995
1552542_s_at	0.8264497889260529	1.2954706295797342	0.7935820225917173	1.0219083172984385	0.671170043964689	0.35011793119568463	0.9038606363489806
1552549_a_at	0.33648587917610373	0.5278459319266939	0.27298847131665543	0.25924791309521206	0.25511969906592996	0.36722738047602704	0.3652849554846872
1552557_a_at	0.4758183052305965	0.5750391116077037	0.44881739799246784	0.4355799511109826	0.45189523703337503	0.4677598284084534	0.5092959297844475
1552558_a_at	0.11641126965426166	0.28247693651353656	0.018661835059430434	0.11523792676905961	0.07646669067509615	0.08921295925418553	0.02441170916004001
1552576_at	0.08288228275900235	0.04124731509128586	0.13313768501964607	0.07108584297398514	0.16648183643734593	0.002458734272748711	0.053330080524226
1552579_a_at	0.45490284259420005	0.3791856166253986	0.4416389700751952	0.45438899756496876	0.5062493899227268	0.49305123878271084	0.5027026316628367
1552584_at	0.18885866393390244	0.050897125695945	0.18096456801983793	0.3252589389091849	0.23776903328966853	0.14940365375487602	0.12314129344932587
1552610_a_at	0.5318298032103872	0.14465528700024252	0.5342878124663185	0.723755145821008	0.7676832952063827	0.48876747555798433	0.6381016474437701
1552611_a_at	0.4342485655239055	0.06469626543466653	0.7045737045110747	0.5053289974029116	0.48228304375686204	0.4143608165140128	0.5018690622109893
1552612_at	0.36663901152685036	0.02216118620829225	0.5577430136929374	0.22441758388586125	0.3964485572673653	0.6324247165797956	0.40040811511689334
1552613_s_at	0.4077320689269449	0.21799497430842502	0.6543936365330184	0.07203883664029258	0.4366034136835812	0.6576294834694073	0.4594693213908513
1552615_at	0.47574821467283934	0.4998079157329426	0.5551346412466	0.30941245574101206	0.4278436559689136	0.5865424046747284	0.4842287703971038
